Player,Org,ProfileURL,Region,MatchID,MapNum,MapName,SeriesFormat,R2.0,ACS,K,D,A,KAST,ADR,HS%,FK,FD,K:D
Jemkin,RRQ,https://www.vlr.gg/player/24895/jemkin,Mixed,590024,242859,Split,bo1,,228,17,18,4,,,,,,0.94
Kushy,RRQ,https://www.vlr.gg/player/4866/kushy,Mixed,590024,242859,Split,bo1,,211,15,18,2,,,,,,0.83
Monyet,RRQ,https://www.vlr.gg/player/8497/monyet,Mixed,590024,242859,Split,bo1,,209,16,18,5,,,,,,0.89
xffero,RRQ,https://www.vlr.gg/player/4871/xffero,Mixed,590024,242859,Split,bo1,,167,13,16,2,,,,,,0.81
Jovi,RRQ,https://www.vlr.gg/player/6570/jovi,Mixed,590024,242859,Split,bo1,,141,11,21,6,,,,,,0.52
cb,EDG,https://www.vlr.gg/player/39697/cb,Mixed,590024,242859,Split,bo1,,267,19,14,7,,,,,,1.36
Jieni7,EDG,https://www.vlr.gg/player/51244/jieni7,Mixed,590024,242859,Split,bo1,,241,20,15,3,,,,,,1.33
nobody,EDG,https://www.vlr.gg/player/3017/nobody,Mixed,590024,242859,Split,bo1,,235,21,12,4,,,,,,1.75
CHICHOO,EDG,https://www.vlr.gg/player/15559/chichoo,Mixed,590024,242859,Split,bo1,,224,18,15,5,,,,,,1.2
Smoggy,EDG,https://www.vlr.gg/player/4742/smoggy,Mixed,590024,242859,Split,bo1,,171,13,16,12,,,,,,0.81
Smoggy,EDG,https://www.vlr.gg/player/4742/smoggy,Mixed,590025,242860,Pearl,bo1,,204,13,14,3,,,,,,0.93
nobody,EDG,https://www.vlr.gg/player/3017/nobody,Mixed,590025,242860,Pearl,bo1,,196,10,14,4,,,,,,0.71
CHICHOO,EDG,https://www.vlr.gg/player/15559/chichoo,Mixed,590025,242860,Pearl,bo1,,155,10,14,1,,,,,,0.71
Jieni7,EDG,https://www.vlr.gg/player/51244/jieni7,Mixed,590025,242860,Pearl,bo1,,149,8,15,3,,,,,,0.53
cb,EDG,https://www.vlr.gg/player/39697/cb,Mixed,590025,242860,Pearl,bo1,,70,4,15,3,,,,,,0.27
Neon,LEV,https://www.vlr.gg/player/29243/neon,Mixed,590025,242860,Pearl,bo1,,345,23,8,5,,,,,,2.88
kiNgg,LEV,https://www.vlr.gg/player/8549/kingg,Mixed,590025,242860,Pearl,bo1,,207,14,8,4,,,,,,1.75
Sato,LEV,https://www.vlr.gg/player/21659/sato,Mixed,590025,242860,Pearl,bo1,,204,13,13,7,,,,,,1.0
spike,LEV,https://www.vlr.gg/player/21661/spike,Mixed,590025,242860,Pearl,bo1,,204,12,10,7,,,,,,1.2
blowz,LEV,https://www.vlr.gg/player/21251/blowz,Mixed,590025,242860,Pearl,bo1,,162,10,6,2,,,,,,1.67
Neon,LEV,https://www.vlr.gg/player/29243/neon,Mixed,590026,242861,Split,bo1,,284,24,14,2,,,,,,1.71
blowz,LEV,https://www.vlr.gg/player/21251/blowz,Mixed,590026,242861,Split,bo1,,243,19,12,4,,,,,,1.58
spike,LEV,https://www.vlr.gg/player/21661/spike,Mixed,590026,242861,Split,bo1,,222,15,12,12,,,,,,1.25
Sato,LEV,https://www.vlr.gg/player/21659/sato,Mixed,590026,242861,Split,bo1,,193,13,14,4,,,,,,0.93
kiNgg,LEV,https://www.vlr.gg/player/8549/kingg,Mixed,590026,242861,Split,bo1,,161,11,14,11,,,,,,0.79
xffero,RRQ,https://www.vlr.gg/player/4871/xffero,Mixed,590026,242861,Split,bo1,,351,27,14,5,,,,,,1.93
Jemkin,RRQ,https://www.vlr.gg/player/24895/jemkin,Mixed,590026,242861,Split,bo1,,239,18,14,4,,,,,,1.29
Monyet,RRQ,https://www.vlr.gg/player/8497/monyet,Mixed,590026,242861,Split,bo1,,129,8,17,5,,,,,,0.47
Jovi,RRQ,https://www.vlr.gg/player/6570/jovi,Mixed,590026,242861,Split,bo1,,128,11,19,2,,,,,,0.58
Kushy,RRQ,https://www.vlr.gg/player/4866/kushy,Mixed,590026,242861,Split,bo1,,47,2,18,3,,,,,,0.11
whzy,BLG,https://www.vlr.gg/player/4885/whzy,Mixed,590027,242862,Split,bo1,,286,23,17,4,,,,,,1.35
rushia,BLG,https://www.vlr.gg/player/48878/rushia,Mixed,590027,242862,Split,bo1,,249,23,14,5,,,,,,1.64
Levius,BLG,https://www.vlr.gg/player/40845/levius,Mixed,590027,242862,Split,bo1,,175,14,13,11,,,,,,1.08
nephh,BLG,https://www.vlr.gg/player/10698/nephh,Mixed,590027,242862,Split,bo1,,152,10,18,13,,,,,,0.56
Knight,BLG,https://www.vlr.gg/player/4774/knight,Mixed,590027,242862,Split,bo1,,144,12,16,7,,,,,,0.75
free1ng,KRX,https://www.vlr.gg/player/1916/free1ng,Mixed,590027,242862,Split,bo1,,235,19,16,6,,,,,,1.19
BeYN,KRX,https://www.vlr.gg/player/4678/beyn,Mixed,590027,242862,Split,bo1,,213,17,18,4,,,,,,0.94
Flashback,KRX,https://www.vlr.gg/player/35013/flashback,Mixed,590027,242862,Split,bo1,,212,19,16,7,,,,,,1.19
HYUNMIN,KRX,https://www.vlr.gg/player/28400/hyunmin,Mixed,590027,242862,Split,bo1,,162,13,15,2,,,,,,0.87
MaKo,KRX,https://www.vlr.gg/player/4462/mako,Mixed,590027,242862,Split,bo1,,136,10,17,9,,,,,,0.59
MaKo,KRX,https://www.vlr.gg/player/4462/mako,Mixed,590028,242863,Split,bo1,,254,21,11,10,,,,,,1.91
HYUNMIN,KRX,https://www.vlr.gg/player/28400/hyunmin,Mixed,590028,242863,Split,bo1,,230,17,17,3,,,,,,1.0
BeYN,KRX,https://www.vlr.gg/player/4678/beyn,Mixed,590028,242863,Split,bo1,,202,17,10,11,,,,,,1.7
Flashback,KRX,https://www.vlr.gg/player/35013/flashback,Mixed,590028,242863,Split,bo1,,183,15,15,5,,,,,,1.0
free1ng,KRX,https://www.vlr.gg/player/1916/free1ng,Mixed,590028,242863,Split,bo1,,138,10,16,6,,,,,,0.62
Spring,WOL,https://www.vlr.gg/player/14125/spring,Mixed,590028,242863,Split,bo1,,230,15,17,4,,,,,,0.88
yosemite,WOL,https://www.vlr.gg/player/6022/yosemite,Mixed,590028,242863,Split,bo1,,194,16,16,6,,,,,,1.0
Satoshi,WOL,https://www.vlr.gg/player/46532/satoshi,Mixed,590028,242863,Split,bo1,,187,17,17,2,,,,,,1.0
SiuFatBB,WOL,https://www.vlr.gg/player/7849/siufatbb,Mixed,590028,242863,Split,bo1,,157,13,14,4,,,,,,0.93
jowa,WOL,https://www.vlr.gg/player/19292/jowa,Mixed,590028,242863,Split,bo1,,97,8,16,6,,,,,,0.5
